up_id,uname,fans,tid_gen,tid_sub,biz_scale_rank,biz_active_rank,biz_trend_rank,biz_score,gmv_30d,avg_daily_gmv,ecpvv,charge_users,cvr,charge_level,biz_level,conclusion
3629946,红色社畜,775844,动画,同人·手书,2,3,5,3.75,41482,1382.73,60.56,2647,0.39,中,中,双栖均衡型：商单充电均中等，需观察趋势
486633990,我是江无情,2231657,知识,人文历史,3,5,2,3,39921,1330.7,60.42,2526,0.38,中,中,双栖均衡型：商单充电均中等，需观察趋势
238365787,老猫鱼不吃鱼,818783,知识,财经商业,3,5,4,4,37768,1258.93,66.29,1433,0.25,中,高,商单主力试水型：商单仍强但已开始充电，观察转化
438173577,卢克文工作室,4609692,资讯,人文历史,4,5,5,4.75,37553,1251.77,78.07,1046,0.22,中,高,商单主力试水型：商单仍强但已开始充电，观察转化
927587,木鱼水心,14567017,影视,影视杂谈,2,1,3,2.25,36895,1229.83,86.59,3544,0.83,中,低,充电成长型：商单下行，充电有基础，重点培养对象
8096990,啊粥粥啊粥,3577728,影视,影视杂谈,3,3,3,3,35515,1183.83,65.08,3348,0.61,中,中,双栖均衡型：商单充电均中等，需观察趋势
1575688490,CLS同学,1075566,知识,财经商业,3,4,2,2.75,35486,1182.87,226.93,1281,0.82,中,中,双栖均衡型：商单充电均中等，需观察趋势
14048220,马刀刻森,2470301,动画,同人·手书,4,3,1,2.25,30139,1004.63,56.66,1897,0.36,中,低,充电成长型：商单下行，充电有基础，重点培养对象
63486758,范李猿,2762815,付费,综合,3,2,2,2.25,29802,993.4,167.56,1090,0.61,中,低,充电成长型：商单下行，充电有基础，重点培养对象
664086886,鹏城杰森,1031179,知识,人文历史,3,5,4,4,27241,908.03,85.83,1018,0.32,中,高,商单主力试水型：商单仍强但已开始充电，观察转化
119801456,老蒋巨靠谱,1423343,生活,其他,4,4,1,2.5,26677,889.23,124.56,2542,1.19,中,中,双栖均衡型：商单充电均中等，需观察趋势
601367419,破壁狗,680273,知识,人文历史,2,3,1,1.75,26235,874.5,71.72,959,0.26,中,低,充电成长型：商单下行，充电有基础，重点培养对象
216025,尕丶天堂,1631505,动画,动漫杂谈,3,5,2,3,26073,869.1,196.14,1676,1.26,中,中,双栖均衡型：商单充电均中等，需观察趋势
4134740,咸鱼小汉堡,1104311,娱乐,娱乐杂谈,2,3,5,3.75,25423,847.43,47.13,1634,0.3,中,中,双栖均衡型：商单充电均中等，需观察趋势
34840587,海棠家的大肥鱼,1843286,影视,影视剪辑,3,3,5,4,23513,783.77,58.76,2241,0.56,中,高,商单主力试水型：商单仍强但已开始充电，观察转化
1611053412,杨升Alex,173908,知识,人文历史,2,4,5,4,23475,782.5,206,862,0.76,中,高,商单主力试水型：商单仍强但已开始充电，观察转化
18127732,让让悠哉大王,427679,影视,影视杂谈,2,4,4,3.5,21146,704.87,81.97,1988,0.77,中,中,双栖均衡型：商单充电均中等，需观察趋势
316568752,马督工,2206373,知识,社科·法律·心理,4,5,4,4.25,20444,681.47,172.77,1271,1.07,中,高,商单主力试水型：商单仍强但已开始充电，观察转化
23326926,柳行长,1545657,知识,财经商业,2,3,5,3.75,19974,665.8,181.48,742,0.67,中,中,双栖均衡型：商单充电均中等，需观察趋势
2920960,大祥哥来了,4527258,美食,美食测评,3,4,2,2.75,19791,659.7,104.71,1838,0.97,中,中,双栖均衡型：商单充电均中等，需观察趋势
386869863,培根悖论唠唠嗑,2757541,影视,影视杂谈,3,4,2,2.75,19457,648.57,87.28,1222,0.55,中,中,双栖均衡型：商单充电均中等，需观察趋势
646732586,瞎问虾猜丶,2100717,生活,搞笑,3,5,2,3,17855,595.17,51.29,1140,0.33,中,中,双栖均衡型：商单充电均中等，需观察趋势
283195854,小说家Puckio,1222407,知识,人文历史,2,3,3,2.75,17643,588.1,129.41,670,0.49,中,中,双栖均衡型：商单充电均中等，需观察趋势
1570971364,追娘娘特别肝,823400,影视,影视杂谈,2,4,2,2.5,16874,562.47,60,1094,0.39,中,中,双栖均衡型：商单充电均中等，需观察趋势
559186307,前进四放映室,986162,影视,影视杂谈,3,2,5,3.75,16202,540.07,103.05,617,0.39,中,中,双栖均衡型：商单充电均中等，需观察趋势
489640651,新石器公园,971650,知识,科学科普,2,2,5,3.5,14957,498.57,129.64,942,0.82,中,中,双栖均衡型：商单充电均中等，需观察趋势
13611123,投研部杨摸鱼,629579,知识,财经商业,2,2,5,3.5,14740,491.33,160.18,491,0.53,中,中,双栖均衡型：商单充电均中等，需观察趋势
450057491,新雨_Paul,585728,知识,人文历史,2,4,2,2.5,14564,485.47,184.01,911,1.15,中,中,双栖均衡型：商单充电均中等，需观察趋势
731771,点金小侯,344510,知识,财经商业,2,3,2,2.25,13372,445.73,311.4,340,0.79,中,低,充电成长型：商单下行，充电有基础，重点培养对象
41801982,李翔看世界,187273,资讯,日常,2,3,1,1.75,13278,442.6,131.45,447,0.44,中,低,充电成长型：商单下行，充电有基础，重点培养对象
11646119,正直讲史-李正Str,2973179,知识,人文历史,3,3,5,4,12905,430.17,12.27,1110,0.11,中,高,商单主力试水型：商单仍强但已开始充电，观察转化
383551518,水论文的程序猿-水导,1116176,知识,校园学习,2,3,1,1.75,11435,381.17,189.27,411,0.68,中,低,充电成长型：商单下行，充电有基础，重点培养对象
94281836,文西与阿漆,4076206,影视,搞笑,3,5,5,4.5,11381,379.37,22.89,911,0.18,中,高,商单主力试水型：商单仍强但已开始充电，观察转化
9596327,卡慕SaMa,2529739,游戏,单机游戏,3,4,1,2.25,11038,367.93,30.26,718,0.2,中,低,充电成长型：商单下行，充电有基础，重点培养对象
98666360,汉森白JW,1556342,知识,人文历史,2,3,1,1.75,10278,342.6,107.75,660,0.69,中,低,充电成长型：商单下行，充电有基础，重点培养对象
13716885,猫叔慢跑,970947,运动,健身,2,2,3,2.5,9157,305.23,174.31,300,0.57,低,中,待激活型：商单一般充电弱，需运营介入
14081338,白夜梦的摸鱼时间,1139708,动画,同人·手书,2,2,3,2.5,6931,231.03,211.02,445,1.35,低,中,待激活型：商单一般充电弱，需运营介入
2196632,兰矛RS,1167742,动画,同人·手书,3,4,4,3.75,6658,221.93,65.41,641,0.63,低,中,待激活型：商单一般充电弱，需运营介入
33064694,夜车Azuya,1406065,动画,综合,2,4,2,2.5,6131,204.37,32.43,299,0.16,低,中,待激活型：商单一般充电弱，需运营介入
81824112,导演小策,3350569,生活,搞笑,4,3,5,4.25,6105,203.5,80.31,396,0.52,低,高,商单依赖型：商单强且趋势好，短期转充电可能性极低
289189019,戏京同志,2460197,知识,社科·法律·心理,2,2,1,1.5,5799,193.3,26.84,276,0.13,低,低,低活跃型：商单充电均弱，需评估内容潜力
4925207,芙芙家的洗碗君,3335104,动画,动漫杂谈,3,4,3,3.25,5616,187.2,67.34,357,0.43,低,中,待激活型：商单一般充电弱，需运营介入
397180707,油管小王子Terry,454200,运动,篮球,2,4,5,4,5585,186.17,31.78,354,0.2,低,高,商单依赖型：商单强且趋势好，短期转充电可能性极低
1968595,鹦鹉梨,2166138,时尚,穿搭,4,4,5,4.5,5523,184.1,24.64,355,0.16,低,高,商单依赖型：商单强且趋势好，短期转充电可能性极低
613668875,攻心与汉桑,207352,知识,人文历史,2,4,3,3,5298,176.6,77.7,203,0.3,低,中,待激活型：商单一般充电弱，需运营介入
325864133,飞天闪客,423888,科技,计算机技术,3,3,5,4,5147,171.57,159.21,488,1.51,低,高,商单依赖型：商单强且趋势好，短期转充电可能性极低
74112426,倓张TanZ,325554,时尚,运动文化,2,3,2,2.25,5133,171.1,90.57,296,0.52,低,低,低活跃型：商单充电均弱，需评估内容潜力
124542069,图图凸凸凸耶,1038648,动画,同人·手书,2,2,1,1.5,4839,161.3,80.67,299,0.5,低,低,低活跃型：商单充电均弱，需评估内容潜力
1117551831,江湖弃子,1071361,知识,人文历史,2,3,5,3.75,4782,159.4,48.47,286,0.29,低,中,待激活型：商单一般充电弱，需运营介入
593251783,本子在隔壁,1297173,知识,社科·法律·心理,3,3,5,4,4700,156.67,297.04,178,1.12,低,高,商单依赖型：商单强且趋势好，短期转充电可能性极低
302299393,张志浩在剥柚,1350348,影视,影视杂谈,2,3,1,1.75,3956,131.87,132.11,257,0.86,低,低,低活跃型：商单充电均弱，需评估内容潜力
496688267,凉子访谈录,2425834,生活,日常,2,2,3,2.5,2955,98.5,159.2,270,1.45,低,中,待激活型：商单一般充电弱，需运营介入
503302,高原守Channel,638553,游戏,桌游棋牌,2,5,4,3.75,2887,96.23,26.81,164,0.15,低,中,待激活型：商单一般充电弱，需运营介入
43831821,百里浪丶,435197,游戏,单机游戏,2,5,2,2.75,2237,74.57,140.24,84,0.53,低,中,待激活型：商单一般充电弱，需运营介入
11684621,太阳星sunstar,3175594,知识,人文历史,3,3,4,3.5,1863,62.1,132.43,117,0.83,低,中,待激活型：商单一般充电弱，需运营介入
26032219,FoFTG,4036095,游戏,单机游戏,4,4,2,3,1592,53.07,8.97,105,0.06,低,中,待激活型：商单一般充电弱，需运营介入
285499073,东尼ookii,5244437,生活,日常,4,3,2,2.75,1532,51.07,136.97,146,1.31,低,中,待激活型：商单一般充电弱，需运营介入
1442646750,星霜喵,668285,知识,人文历史,2,4,3,3,1491,49.7,17.45,94,0.11,低,中,待激活型：商单一般充电弱，需运营介入
290548469,冲浪普拉斯,1621484,知识,财经商业,4,3,1,2.25,1258,41.93,71.6,17,0.1,低,低,商单衰退型：曾经商单强但趋势下行，充电转化黄金窗口
17054540,小丙摩托车评中心,715532,汽车,摩托车,2,4,1,2,1139,37.97,40.53,96,0.34,低,低,商单衰退型：曾经商单强但趋势下行，充电转化黄金窗口
31261235,L另唐,1453515,国创,国产原创相关,3,3,3,3,923,30.77,46.7,59,0.3,低,中,待激活型：商单一般充电弱，需运营介入
1265680561,永雏塔菲,2192545,动画,综合,3,5,2,3,900,30,192.6,65,1.39,低,中,待激活型：商单一般充电弱，需运营介入
14097567,花叔v,199781,科技,计算机技术,3,3,5,4,822,27.4,103.61,30,0.38,低,高,商单依赖型：商单强且趋势好，短期转充电可能性极低
4477242,文化遗产搬运委员会,1180130,知识,人文历史,3,3,1,2,658,21.93,135.09,62,1.27,低,低,低活跃型：商单充电均弱，需评估内容潜力
8937568,特别中二的q3君,2852643,游戏,单机游戏,2,2,5,3.5,624,20.8,4.2,37,0.02,低,中,待激活型：商单一般充电弱，需运营介入
13736113,有机社会,1269680,知识,人文历史,2,3,5,3.75,516,17.2,80.89,50,0.78,低,中,待激活型：商单一般充电弱，需运营介入
355805783,深秋不是鸡腿子,400244,知识,科学科普,2,5,2,2.75,516,17.2,69.73,49,0.66,低,中,待激活型：商单一般充电弱，需运营介入
286187082,大耳朵TV,1112888,科技,数码,2,3,1,1.75,490,16.33,13.48,32,0.09,低,低,低活跃型：商单充电均弱，需评估内容潜力
373448384,MK的鹦鹉,1124288,动物圈,小宠异宠,2,5,3,3.25,487,16.23,101.56,24,0.5,低,中,待激活型：商单一般充电弱，需运营介入
584762039,多明海,1318339,知识,人文历史,3,5,3,3.5,482,16.07,120.23,31,0.77,低,中,待激活型：商单一般充电弱，需运营介入
421912906,天下一场梦,1790738,动物圈,小宠异宠,2,5,2,2.75,456,15.2,9.44,21,0.04,低,中,待激活型：商单一般充电弱，需运营介入
314216,随义のfreely,448531,游戏,单机游戏,2,5,2,2.75,437,14.57,128.72,20,0.59,低,中,待激活型：商单一般充电弱，需运营介入
73528331,摩斯神探,3621617,影视,影视杂谈,3,5,4,4,408,13.6,47.24,25,0.29,低,高,商单依赖型：商单强且趋势好，短期转充电可能性极低
1628139107,真实电竞,1027600,游戏,电子竞技,2,5,2,2.75,399,13.3,7.79,26,0.05,低,中,待激活型：商单一般充电弱，需运营介入
517986781,南半球聊财经,874124,知识,财经商业,2,4,2,2.5,391,13.03,115.34,15,0.44,低,中,待激活型：商单一般充电弱，需运营介入
4976111,龚琳娜,588061,音乐,音乐现场,2,1,3,2.25,387,12.9,71.09,25,0.46,低,低,低活跃型：商单充电均弱，需评估内容潜力
169896163,一拳人OPM,1007239,游戏,单机游戏,2,3,1,1.75,372,12.4,33.84,23,0.21,低,低,低活跃型：商单充电均弱，需评估内容潜力
266765166,漫士沉思录,1379517,知识,科学科普,3,3,4,3.5,369,12.3,243.56,24,1.58,低,中,待激活型：商单一般充电弱，需运营介入
69837092,战争研究所,543836,知识,人文历史,2,5,1,2.25,363,12.1,43.3,13,0.16,低,低,商单衰退型：曾经商单强但趋势下行，充电转化黄金窗口
39101587,虾米大模王,1156931,动画,模玩·周边,2,4,2,2.5,354,11.8,173.96,8,0.39,低,中,待激活型：商单一般充电弱，需运营介入
401315430,星瞳_Official,1108814,动画,综合,2,3,5,3.75,340,11.33,131.12,13,0.5,低,中,待激活型：商单一般充电弱，需运营介入
1574624,糕哥枣糕DAZE,1312448,时尚,仿妆cos,2,3,5,3.75,333,11.1,46.82,16,0.22,低,中,待激活型：商单一般充电弱，需运营介入
549117578,大闲人贾白,959582,知识,财经商业,2,2,0,1,300,10,107.37,18,0.64,低,低,低活跃型：商单充电均弱，需评估内容潜力
267083972,野原新之助天下第一,433177,生活,出行,3,5,1,2.5,229,7.63,23.8,8,0.08,低,中,待激活型：商单一般充电弱，需运营介入
34262915,瑞典厨师,799490,音乐,音乐综合,3,4,1,2.25,213,7.1,23.9,11,0.12,低,低,商单衰退型：曾经商单强但趋势下行，充电转化黄金窗口
1485277312,真红莉爱Official,1318505,动画,综合,2,5,1,2.25,183,6.1,57.67,12,0.38,低,低,商单衰退型：曾经商单强但趋势下行，充电转化黄金窗口
225179867,KurTips,949921,知识,野生技能协会,2,2,3,2.5,177,5.9,213.25,7,0.84,低,中,待激活型：商单一般充电弱，需运营介入
2350559,菌烨tako,1944143,生活,其他,2,2,3,2.5,173,5.77,53.26,11,0.34,低,中,待激活型：商单一般充电弱，需运营介入
39597640,拣尽南枝,640773,知识,人文历史,2,4,5,4,148,4.93,47.27,14,0.45,低,高,商单依赖型：商单强且趋势好，短期转充电可能性极低
300159010,印度胖亚瑟,1040845,生活,日常,2,4,5,4,144,4.8,36.54,9,0.23,低,高,商单依赖型：商单强且趋势好，短期转充电可能性极低
213845897,天才简史,1981043,知识,人文历史,2,3,1,1.75,144,4.8,65.9,9,0.41,低,低,低活跃型：商单充电均弱，需评估内容潜力
230983435,心河摆渡,1366029,知识,社科·法律·心理,3,3,3,3,134,4.47,142.86,5,0.53,低,中,待激活型：商单一般充电弱，需运营介入
256283682,奇趣研究奇叔,609512,知识,人文历史,2,4,5,4,126,4.2,25.89,8,0.16,低,高,商单依赖型：商单强且趋势好，短期转充电可能性极低
1724598,森纳映画,2481922,游戏,单机游戏,3,3,5,4,107,3.57,9.15,11,0.09,低,高,商单依赖型：商单强且趋势好，短期转充电可能性极低
8366990,-欣小萌-,5796789,生活,日常,4,5,2,3.25,101,3.37,77.4,8,0.61,低,中,待激活型：商单一般充电弱，需运营介入
17819768,电影最TOP,6105637,影视,影视杂谈,3,3,1,2,74,2.47,45.71,7,0.43,低,低,低活跃型：商单充电均弱，需评估内容潜力
410558000,疝气曾伊森,1553837,知识,科学科普,2,3,5,3.75,70,2.33,75.59,7,0.76,低,中,待激活型：商单一般充电弱，需运营介入
1767542,笨尼尼子,1773992,游戏,单机游戏,2,5,2,2.75,63,2.1,32.31,4,0.21,低,中,待激活型：商单一般充电弱，需运营介入
408663169,爱德华说,420830,知识,职业职场,2,4,2,2.5,58,1.93,138.76,2,0.48,低,中,待激活型：商单一般充电弱，需运营介入
25577001,舒灿,168343,科技,数码,3,4,5,4.25,57,1.9,131.03,4,0.92,低,高,商单依赖型：商单强且趋势好，短期转充电可能性极低
1020580402,不定式NextIdea,112518,生活,日常,2,3,4,3.25,57,1.9,250,2,0.88,低,中,待激活型：商单一般充电弱，需运营介入
23791195,科学透镜,1736392,知识,科学科普,3,4,3,3.25,50,1.67,1136.36,2,4.55,低,中,待激活型：商单一般充电弱，需运营介入
478301389,酷温Coolwin,372899,知识,财经商业,2,4,1,2,48,1.6,73.85,3,0.46,低,低,商单衰退型：曾经商单强但趋势下行，充电转化黄金窗口
295482806,阎鹤祥,143341,娱乐,明星综合,3,1,3,2.5,45,1.5,73.17,1,0.16,低,中,待激活型：商单一般充电弱，需运营介入
111714204,胖胖地球君,324739,知识,科学科普,2,3,2,2.25,42,1.4,162.79,1,0.39,低,低,低活跃型：商单充电均弱，需评估内容潜力
415890389,高坂大芥末,483410,游戏,网络游戏,2,4,2,2.5,40,1.33,72.33,4,0.72,低,中,待激活型：商单一般充电弱，需运营介入
592095891,硬汉形象26,1602812,运动,健身,3,3,5,4,40,1.33,70.05,4,0.7,低,高,商单依赖型：商单强且趋势好，短期转充电可能性极低
56173,星白Knut,541233,知识,人文历史,2,4,2,2.5,34,1.13,45.09,3,0.4,低,中,待激活型：商单一般充电弱，需运营介入
6731340,分析师蓝宝石,525637,游戏,电子竞技,2,5,4,3.75,33,1.1,27.71,2,0.17,低,中,待激活型：商单一般充电弱，需运营介入
641217,第七翼刀,1987190,生活,搞笑,3,5,5,4.5,30,1,4.79,2,0.03,低,高,商单依赖型：商单强且趋势好，短期转充电可能性极低
316480033,地缘志,594443,知识,人文历史,2,4,2,2.5,30,1,44.05,2,0.29,低,中,待激活型：商单一般充电弱，需运营介入
2077733317,烛不遥,619740,动画,综合,2,5,1,2.25,25,0.83,1.18,2,0.01,低,低,商单衰退型：曾经商单强但趋势下行，充电转化黄金窗口
642892779,帅山姆先生,1733334,付费,综合,2,2,3,2.5,25,0.83,139.67,1,0.56,低,中,待激活型：商单一般充电弱，需运营介入
337312411,翠花不太脆,2108850,音乐,原创音乐,2,2,0,1,25,0.83,32.98,1,0.13,低,低,低活跃型：商单充电均弱，需评估内容潜力
162183,原子能,179532,科技,计算机技术,3,4,2,2.75,25,0.83,110.62,1,0.44,低,中,待激活型：商单一般充电弱，需运营介入
152389373,NBzhuoc大,2542961,游戏,单机游戏,2,3,1,1.75,23,0.77,2.99,3,0.04,低,低,低活跃型：商单充电均弱，需评估内容潜力
12820125,钱丢丢-,1545194,知识,人文历史,2,2,2,2,22,0.73,100.46,2,0.91,低,低,低活跃型：商单充电均弱，需评估内容潜力
3066511,特效小哥studio,4658346,生活,搞笑,5,5,3,4,20,0.67,106.38,2,1.06,低,高,商单依赖型：商单强且趋势好，短期转充电可能性极低
1457639978,正说清代十二朝,1075069,影视,影视杂谈,2,5,2,2.75,18,0.6,131.39,1,0.73,低,中,待激活型：商单一般充电弱，需运营介入
307367742,魏武挥鞭否,478853,影视,影视杂谈,2,4,2,2.5,15,0.5,31.78,1,0.21,低,中,待激活型：商单一般充电弱，需运营介入
172809260,晨露ZLQ,1321833,游戏,单机游戏,2,3,5,3.75,0,0,0,0,0,无,中,待激活型：商单一般充电弱，需运营介入
51325330,不死斩剑圣,364324,游戏,电子竞技,2,5,2,2.75,0,0,0,0,0,无,中,待激活型：商单一般充电弱，需运营介入
1711522882,KerryDowdle,2744058,生活,日常,4,4,4,4,0,0,0,0,0,无,高,商单依赖型：商单强且趋势好，短期转充电可能性极低
193580090,御风大世界,141121,科技,计算机技术,3,4,2,2.75,0,0,0,0,0,无,中,待激活型：商单一般充电弱，需运营介入
570064,章北海official,2042434,知识,社科·法律·心理,3,5,1,2.5,0,0,0,0,0,无,中,待激活型：商单一般充电弱，需运营介入
67079745,玄离199,629697,科技,软件应用,3,4,2,2.75,0,0,0,0,0,无,中,待激活型：商单一般充电弱，需运营介入
388477943,薪儿姐师尊,1579808,影视,小剧场,4,4,1,2.5,0,0,0,0,0,无,中,待激活型：商单一般充电弱，需运营介入
375040863,你是想气死1酱么,1034563,游戏,电子竞技,2,3,5,3.75,0,0,0,0,0,无,中,待激活型：商单一般充电弱，需运营介入
261168118,小豹城市探索,294211,生活,出行,3,4,4,3.75,0,0,0,0,0,无,中,待激活型：商单一般充电弱，需运营介入
322892,痒局长,2472234,游戏,单机游戏,2,2,2,2,0,0,0,0,0,无,低,低活跃型：商单充电均弱，需评估内容潜力
677865752,芜湖大司马,1588145,生活,搞笑,2,1,0,0.75,0,0,0,0,0,无,低,低活跃型：商单充电均弱，需评估内容潜力
48875744,十里漫漫,457554,国创,国产原创相关,2,5,2,2.75,0,0,0,0,0,无,中,待激活型：商单一般充电弱，需运营介入
383423248,AndyTalk,439917,科技,数码,2,3,4,3.25,0,0,0,0,0,无,中,待激活型：商单一般充电弱，需运营介入
545795620,能量君andy,2516870,生活,日常,2,2,5,3.5,0,0,0,0,0,无,中,待激活型：商单一般充电弱，需运营介入
7457931,精罗伯爵,298364,知识,社科·法律·心理,2,5,5,4.25,0,0,0,0,0,无,高,商单依赖型：商单强且趋势好，短期转充电可能性极低
3405037,小牛-Calf,99681,游戏,网络游戏,2,4,5,4,0,0,0,0,0,无,高,商单依赖型：商单强且趋势好，短期转充电可能性极低
11097284,康哟喂,1630338,生活,出行,3,2,0,1.25,0,0,0,0,0,无,低,低活跃型：商单充电均弱，需评估内容潜力
50524284,毒舌大表哥,178857,游戏,单机游戏,2,4,2,2.5,0,0,0,0,0,无,中,待激活型：商单一般充电弱，需运营介入
2169841,帷幕VMovie,585986,动画,同人·手书,4,3,5,4.25,0,0,0,0,0,无,高,商单依赖型：商单强且趋势好，短期转充电可能性极低
216844,玩偶菌,1359051,动画,动漫杂谈,3,4,2,2.75,0,0,0,0,0,无,中,待激活型：商单一般充电弱，需运营介入
2017611,利利那TD25,1157052,动画,模玩·周边,3,3,2,2.5,0,0,0,0,0,无,中,待激活型：商单一般充电弱，需运营介入
314076440,鱼C-小甲鱼,1347074,科技,计算机技术,2,2,0,1,0,0,0,0,0,无,低,低活跃型：商单充电均弱，需评估内容潜力
111095065,黑旗团队,1271820,影视,小剧场,2,2,5,3.5,0,0,0,0,0,无,中,待激活型：商单一般充电弱，需运营介入
23008074,有轶见,549062,知识,社科·法律·心理,2,4,2,2.5,0,0,0,0,0,无,中,待激活型：商单一般充电弱，需运营介入
8237763,阿张RayZhang,2090656,音乐,单机游戏,4,5,2,3.25,0,0,0,0,0,无,中,待激活型：商单一般充电弱，需运营介入
434376696,阿Test正经比比,2542463,知识,财经商业,5,4,3,3.75,0,0,0,0,0,无,中,待激活型：商单一般充电弱，需运营介入
10820826,小余皮得一,319123,生活,搞笑,2,3,5,3.75,0,0,0,0,0,无,中,待激活型：商单一般充电弱，需运营介入
12913627,橘域网,475904,动物圈,喵星人,2,4,5,4,0,0,0,0,0,无,高,商单依赖型：商单强且趋势好，短期转充电可能性极低
283691575,吉罗很快乐,404189,运动,足球,2,5,3,3.25,0,0,0,0,0,无,中,待激活型：商单一般充电弱，需运营介入
351783646,爱足球的谢宇宁,163478,运动,足球,2,5,5,4.25,0,0,0,0,0,无,高,商单依赖型：商单强且趋势好，短期转充电可能性极低
12300996,胜利文绉绉,1127458,科技,数码,5,5,5,5,0,0,0,0,0,无,高,商单依赖型：商单强且趋势好，短期转充电可能性极低
7646527,凶鸭栗,1082461,动画,同人·手书,2,3,2,2.25,0,0,0,0,0,无,低,低活跃型：商单充电均弱，需评估内容潜力
629707370,爱迪生玩游戏,369635,游戏,单机游戏,3,4,1,2.25,0,0,0,0,0,无,低,商单衰退型：曾经商单强但趋势下行，充电转化黄金窗口
454433355,小杰不到一百六,147204,生活,日常,2,4,1,2,0,0,0,0,0,无,低,商单衰退型：曾经商单强但趋势下行，充电转化黄金窗口
1651205507,最近爱吃橙子や,594241,生活,手工,2,3,1,1.75,0,0,0,0,0,无,低,低活跃型：商单充电均弱，需评估内容潜力
