up_id,uname,fans,tid_gen,tid_sub,space_url,first_charge_date,days_since,charge_video_cnt,gmv,avg_daily_gmv,vv,ecpvv,charge_users,cvr,on_board,summary
13580872,伟大的暧昧期_MIKA,1841,影视,小剧场,https://space.bilibili.com/13580872,2026-05-12,8,9,17278.0,575.93,37380,462.23,657,1.76,1,"①AI生成的霸总言情短剧系列，主打""先婚后爱""契约婚姻设定，围绕冷面总裁与女主从互相试探到情感升温的甜虐拉扯；②着重呈现占有欲、吃醋吃醋、强势宠溺等霸总人设戏码，配合雪山、办公室、拍卖会等多场景激吻名场面；③节奏紧凑，下料劲爆，主打高浓度氛围感和情绪价值输出"
3546650916161652,檀阳TanYang,22233,影视,影视杂谈,https://space.bilibili.com/3546650916161652,2026-04-29,21,12,16306.0,543.53,39598,411.79,610,1.54,1,①元神觉醒理论科普，系统讲解元神分类、天道鬼道出身、人生使命等玄学知识体系；②个人通灵觉醒经历记录，分享从被封印到灵力恢复的真实过程；③提供元辰宫冥想、财富显化等实操引导音频，结合高维能量调整的付费级内容
3537117600811734,币圈汪he李,1112,知识,财经商业,https://space.bilibili.com/3537117600811734,2026-05-06,14,6,15180.0,506.0,6946,2185.43,134,1.93,1,①专注比特币、以太坊行情分析与操作建议，每日解读K线走势、支撑阻力位及多空博弈策略；②周末推出深度特供内容，解读加密货币宏观趋势、政策法案影响及美联储动向；③强调实战指导性，会直接给出具体入场点位、止盈止损建议，并在社群同步交易思路。
3494357246151610,炸薯片的大土豆,7359,影视,影视剪辑,https://space.bilibili.com/3494357246151610,2026-05-04,16,9,14647.0,488.23,48144,304.23,401,0.83,1,①专注忘羡CP向二创剪辑，将原作影视素材重新编排为网文风格的故事线；②涵盖重生、穿书、系统文、ABO等热门同人题材，多强调双洁HE设定；③内容兼具古风仙侠底色与现代网文叙事逻辑，侧重情感救赎和虐恋甜宠元素。
1175437650,榆木脑壳一原创,2586,影视,影视剪辑,https://space.bilibili.com/1175437650,2026-05-15,5,10,14423.0,480.77,47413,304.2,552,1.16,1,①AI漫剧形式呈现的现代都市双男主爱情故事，聚焦《同谋心动》IP内容创作；②围绕凌霄、景辰等角色的情感发展，展现从相识、试探到确认关系的甜蜜互动；③擅长情感细节刻画，通过日常约会、游乐场、旅行等场景营造浪漫氛围，强调陪伴与守护主题
1836747262,劳拉的枕头,376870,生活,日常,https://space.bilibili.com/1836747262,2026-05-17,3,1,13329.0,444.3,63189,210.94,493,0.78,1,专注ASMR助眠内容创作，以化妆等生活场景为载体，通过角色扮演式的沉浸互动和细腻触发音，为观众营造放松治愈的感官体验，帮助缓解失眠困扰。
3546827328587868,落九乌_原创漫剧,13066,影视,短片,https://space.bilibili.com/3546827328587868,2026-04-25,25,2,12730.0,424.33,95366,133.49,548,0.57,1,①AI原创双男主漫剧《侵舟》系列，融合校园与黑道双重背景设定；②白切黑角色塑造搭配年下情感线，展现身份地位悬殊下的情感挣扎与守护叙事
1934927910,万物周期研究所,20777,生活,日常,https://space.bilibili.com/1934927910,2026-05-11,9,5,12512.0,417.07,14651,854.0,117,0.8,1,"①聚焦半导体产业链投资机会挖掘，深入解读功率半导体、碳化硅、存储芯片等细分赛道的周期逻辑与卡脖子属性；②强调""万物周期""理念，提醒投资者警惕线性思维陷阱，倡导系统性投资方法论而非盲目追热点；③紧跟前沿科技趋势，探讨物理AI等新兴方向的投资价值"
1723514795,汉森影像说,186086,影视,影视杂谈,https://space.bilibili.com/1723514795,2026-05-19,1,1,11641.0,388.03,32621,356.86,749,2.3,1,美剧《无耻之徒》系列深度解说向内容，采用学者式详解风格，聚焦剧集第十季情节分析，通过精选片段呈现剧中人物关系与生活细节，为粉丝提供剧情回顾与角色互动场景的深度解读。
4603556,蒋缺水,19776,生活,绘画,https://space.bilibili.com/4603556,2026-05-09,11,1,10969.0,365.63,207031,52.98,691,0.33,1,国风原创漫画动画化内容，围绕《那个只会养怪物的道友》这一IP进行人物故事解读，通过动画剧场形式呈现角色小传，展现修仙题材中人物养成妖怪的独特设定与角色背景。
3706940653832283,半镜故事,4109,国创,国产原创相关,https://space.bilibili.com/3706940653832283,2026-04-25,25,9,10168.0,338.93,85831,118.47,381,0.44,1,"①校园双男主情感剧情向内容，聚焦大学生之间从暗恋试探到公开恋爱的情感进程；②着重呈现男生间细腻的情感互动，包括告白、吃醋、安慰等高甜场景，强调""蓄谋已久的喜欢""与""明目张胆的偏爱""；③穿插羽毛球社团、冬令营等校园活动背景，塑造一方家境优渥主动守护、一方敏感自卑逐渐被治愈的双向奔赴关系"
4653374,阿郁的小黑猫,232235,生活,其他,https://space.bilibili.com/4653374,2026-04-20,30,8,10087.0,336.23,131071,76.96,380,0.29,1,纯正ASMR助眠内容创作者，专注双耳3D音效触发，通过轻声细语（whispers）、嚼耳音（mouth sounds）、舔耳等多样化声音刺激营造沉浸式放松体验，使用专业收音设备（3dio、领夹麦）呈现高品质立体声效果，风格温柔治愈。
102727119,丢一枚钱币等月儿圆Oo,1879,生活,日常,https://space.bilibili.com/102727119,2026-05-10,10,7,10014.0,333.8,8199,1221.37,59,0.72,1,①A股投资实战教学向内容，专注个股估值分析与持仓策略拆解，深度解读福晶科技、泰坦股份、卓郎智能等热门标的；②围绕市场热点板块（存储、氢氟酸等）快速梳理投资机会，输出可落地的操作建议；③分享盘中技术指标应用与盯盘技巧，帮助投资者建立系统化交易思维
286772081,说散就撒,2667,影视,影视剪辑,https://space.bilibili.com/286772081,2026-04-20,30,17,9876.0,329.2,86823,113.75,380,0.44,1,①古风双男主耽改短剧剪辑，聚焦和亲草原、摄政王×锦衣卫等权谋背景下的情感纠葛，氛围感拉满；②现代霸总追妻生子日常向内容，主打豪门总裁×助理的追妻火葬场到孕期甜宠、带娃温馨的完整情感线；③剪辑风格偏爱情感高光时刻，深夜氛围、久别重逢、极限拉扯等名场面捕捉精准
21741349,虾仁耶YE,40419,国创,国产动画,https://space.bilibili.com/21741349,2026-05-10,10,5,9719.0,323.97,73417,132.38,588,0.8,1,①明代历史权谋题材原创动画《万历黑诏书》连载，以万历年间朝堂政治博弈为背景，通过廷议、海运工程、学派论战等多线叙事展现文武之争与党争格局；②着重刻画士大夫阶层的理想冲突与现实困境，将儒学流派之争、官场人情世故融入剧情推进，呈现明朝中后期复杂的政治生态
3494369550142019,四喵居士没事敷面膜,24580,生活,日常,https://space.bilibili.com/3494369550142019,2026-04-24,26,6,9594.0,319.8,22871,419.48,573,2.51,1,"①电台式口述节目，深度追踪健美博主""常熟阿诺""的日常动态，通过录音分析和线下探访记录其情绪状态与生活细节；②分享邻里间的奇闻轶事，如白事经历、邻居阿姨的迷信故事等生活见闻，内容偏私密化表达"
41001121,Ks与你看欧赔,1057,运动,足球,https://space.bilibili.com/41001121,2026-05-12,8,7,9052.0,301.73,5318,1702.14,40,0.75,1,①足球竞彩实战向内容，聚焦欧赔分析与赛事预测，涵盖早场、晚场等各时段比赛；②定期进行赛事复盘与自我纠错，保持真实的预测反馈；③穿插欧赔理论教学，讲解让球方、赔率分散、场景分析等专业方法论
470453009,Ciallo动漫,31766,生活,搞笑,https://space.bilibili.com/470453009,2026-05-08,12,8,8278.0,275.93,154911,53.44,535,0.35,1,原创修仙题材AI动画连续剧，讲述《电子女友修道记》第二季剧情。围绕主角月清吾与师姐解语在上清剑宗的修炼历险展开，包含师徒情谊、复仇救赎、门派斗争等热血元素，融合游戏化战斗场景与传统仙侠世界观，呈现筑基修士逆战金丹期强者、对抗冥府之主等高燃剧情。
1673137188,分享快乐快乐每天,35375,影视,小剧场,https://space.bilibili.com/1673137188,2026-05-06,14,23,8150.0,271.67,133623,60.99,505,0.38,1,①反转爽文剧情为核心，聚焦小人物被欺压后的绝地反击，涵盖商战逆袭、职场打脸、复仇翻盘等高爽场景；②融合系统、重生、异能等奇幻脑洞设定，将现实矛盾与超现实元素结合；③题材跨度大，从现代餐饮创业、古装虐恋到末世玩梗均有涉猎，整体风格轻松娱乐向。
3546606550911223,耳蜗居委会,3833,影视,影视剪辑,https://space.bilibili.com/3546606550911223,2026-05-07,13,1,7734.0,257.8,42916,180.21,292,0.68,1,民国军阀题材的原创剧情向内容，以男性怀孕这一特殊设定为核心展开叙事；聚焦双男主在乱世背景下命运交织的情感故事，通过AI技术呈现具有戏剧张力的耽美向剧情场景。
3706972452948040,心跳WANJIA,1452,生活,日常,https://space.bilibili.com/3706972452948040,2026-04-20,30,33,7440.0,248.0,60109,123.78,156,0.26,1,①心肺复苏急救科普模拟内容，涵盖泳池溺水、心肌炎、哮喘等多种突发场景下的CPR操作演示；②穿插口腔全麻治疗等医疗场景记录，整体聚焦急救医疗健康科普领域，以实景模拟形式呈现专业急救流程
1247719327,糯米汤圆圆又圆,48059,动画,动漫杂谈,https://space.bilibili.com/1247719327,2026-04-26,24,26,6630.0,221.0,76259,86.94,437,0.57,1,①专注双男主CP向动漫剪辑与解说，题材横跨修仙、古风宫廷、现代校园等多个设定；②内容呈现以甜宠搞笑为主基调，擅长营造反差萌和高甜氛围，如冷面师尊实则恋爱脑、高冷男神实则狗狗属性等设定；③剧情走向多为暗恋成真、身份反转、误会解除等经典桥段
98923677,嘻嘻午漫,9288,影视,影视杂谈,https://space.bilibili.com/98923677,2026-05-12,8,5,6493.0,216.43,1113192,5.83,406,0.04,1,①动态漫画形式的爽文剧情解说，主打穿越/系统流题材，呈现主角凭借金手指逆袭翻盘的快节奏叙事；②内容涵盖古代基建种田、玄幻修仙权谋、现代末日求生等多元世界观设定，强调反转与戏剧冲突带来的观看爽感
3546597013063716,温柔漫次元,7437,动画,综合,https://space.bilibili.com/3546597013063716,2026-05-15,5,6,6278.0,209.27,30109,208.51,429,1.42,1,①情侣档国漫追番reaction内容，以《天官赐福》为核心，记录两人首次观看的真实反应与互动；②采用连续追番模式，覆盖剧情副本完整进程，实时解读人物关系和剧情走向；③强调CP向观看视角，着重捕捉花怜情感线的高甜瞬间与氛围感呈现
3632302963820879,可乐辣椒kllj,2877,影视,影视剪辑,https://space.bilibili.com/3632302963820879,2026-04-20,30,4,6264.0,208.8,53542,116.99,237,0.44,1,①专注男性孕产题材的影视剪辑内容，呈现娱乐圈顶流、古代帝王等特殊身份角色的生育故事；②着重刻画公开场合（颁奖典礼、朝堂）的紧张临盆情节，营造戏剧冲突感；③面向女性向受众，探索ABO世界观与性别反转设定下的情感叙事
3706975154080395,羡羡爱恰蓝蓝,2369,影视,影视剪辑,https://space.bilibili.com/3706975154080395,2026-05-12,8,10,6217.0,207.23,37702,164.9,231,0.61,1,"①古装耽美向影视剪辑，聚焦""装乖帝王×清冷太傅""的双男主CP线，持续产出同一对CP的系列化内容；②剪辑风格偏重甜宠暧昧互动场景，穿插宫廷权谋阴谋副线，强调角色间的情感张力与肢体亲密戏份；③面向腐女受众的纯爱向剪辑定位。"
701217246,醉花三两酒,15185,动画,动漫杂谈,https://space.bilibili.com/701217246,2026-04-28,22,26,5866.0,195.53,111136,52.78,380,0.34,1,①病娇强制爱向双男主剧情剪辑，主打占有欲、囚禁、疯批攻等重口情节元素；②兽世穿越养崽系列，围绕原始设定下的生存日常与育儿互动；③特殊设定耽美故事，涵盖ABO、双性人、合欢宗等架空世界观。
385028038,铄光AIGC,32861,影视,影视剪辑,https://space.bilibili.com/385028038,2026-04-30,20,17,5510.0,183.67,2155788,2.56,345,0.02,1,①抗战题材原创剧情剪辑，以穿越时空为设定核心，讲述现代军事装备支援抗日战场的热血故事；②重点展现未来科技武器（坦克、导弹、直升机等）碾压侵华日军的爽感战斗场面，兼具军事科幻与爱国情怀
662578966,星期八动漫,13829,动画,综合,https://space.bilibili.com/662578966,2026-04-24,26,60,5498.0,183.27,85960,63.96,231,0.27,1,①双男主古装耽美向剧情剪辑，聚焦情蛊解蛊、男子孕育龙蛋等奇幻设定下的情感纠葛；②重点呈现君臣、师徒、主仆等权力关系中的强制占有与病娇追逐情节；③内容多涉及宫廷、修仙、异族等古风背景，配合蛇龙CP、男性生育体系等架空世界观设定
16940745,明日奈奈子丶,7083,游戏,电子竞技,https://space.bilibili.com/16940745,2026-04-27,23,4,5228.0,174.27,13152,397.51,193,1.47,1,《魔兽世界》大秘境副本的增辉焚诀职业深度教学系列，逐个副本拆解输出循环与技能使用细节，强调DPS手法优化和伤害最大化技巧，适合追求极限输出表现的高端玩家学习参考。
39732639,枕星漫,4756,国创,国产原创相关,https://space.bilibili.com/39732639,2026-04-26,24,63,5156.0,171.87,61104,84.38,329,0.54,1,①都市情感向动态漫剧，主打现代爱情中的背叛与救赎主题，涵盖婚恋纠葛、前任纠缠、替身虐恋等高虐情节；②古风穿越重生题材，聚焦女性觉醒与复仇逆袭，包含宫廷权谋、嫡庶之争、前世今生等元素；③脑洞系统文与末世求生内容，呈现非常规设定下的爽文剧情
356767810,nan,4930,影视,影视剪辑,https://space.bilibili.com/356767810,2026-04-29,21,1,5126.0,170.87,26657,192.3,192,0.72,1,孕期题材爱情剧情剪辑，聚焦待产过程中的情侣日常互动与情感细节，通过宫缩阵痛、温柔陪伴、期待新生命等场景，呈现准父母面对人生重要时刻的真挚情感与心理变化，风格温馨细腻。
3706966413150731,峰说知识,2090,知识,社科·法律·心理,https://space.bilibili.com/3706966413150731,2026-04-28,22,64,5124.0,170.8,127994,40.03,141,0.11,1,①聚焦高考志愿填报咨询场景，以张雪峰现场解答家长学生问题为核心，涉及专业选择、院校定位等实操指导；②重点探讨体制内外就业差异，通过工资对比、职业发展路径等维度分析公务员、选调生、互联网等不同赛道；③延伸至社会现实话题，包括阶层跨越、学历价值、职场生存法则等深度观点输出
3690982405048793,九燚三土上祝融,1019,娱乐,娱乐粉丝创作,https://space.bilibili.com/3690982405048793,2026-05-01,19,5,5097.0,169.9,12182,418.4,190,1.56,1,"①娱乐圈CP粉向内容创作，专注""昀牵孟绕""这对CP的情感解读与互动分析，强调二人恋爱进展的细节捕捉；②结合玄学视角进行关系走向预测，用紫微斗数、月运等神秘学工具解析CP发展态势及相关影视作品播出时间"
424431526,大春不一样,115325,知识,人文历史,https://space.bilibili.com/424431526,2026-04-24,26,2,4986.0,166.2,79794,62.49,284,0.36,1,历史政治类深度科普内容，聚焦近现代中国重大历史转折点的深层逻辑解读。①从秋收起义切入，解析人民军队与旧军队在组织形态和制度建设上的本质差异；②通过严打时期典型案例，探讨中国法治实践中道德边界与法律边界的历史演变。内容以具象案例和历史细节为支撑，将宏大政治命题转化为可感知的叙事场景。
3546795483334697,倾君侧jun,2672,影视,影视剪辑,https://space.bilibili.com/3546795483334697,2026-04-29,21,8,4690.0,156.33,45301,103.53,293,0.65,1,"①古风BL剧情向剪辑，主打《替嫁》系列AI原创内容，围绕""王爷""与""知知""双男主CP展开温泉、中箭救治等高甜互动情节；②配套输出大量制作花絮（啃脖子、喂药片段等），呈现角色互动的幕后趣味过程；③含番外《宫灯长明》拓展世界观，整体风格偏甜宠撒糖向"
396826683,Annisleepy,23224,游戏,网络游戏,https://space.bilibili.com/396826683,2026-04-20,30,7,4671.0,155.7,27629,169.06,161,0.58,1,①魔兽世界副本通关教学专栏，针对至暗之夜版本各大地下城进行详细机制讲解；②以猎人职业视角输出实战攻略，涵盖天赋配置、小怪应对、Boss打法等全流程喂饭式教学，帮助玩家快速掌握副本通关技巧
384227469,善良的全波,5024,知识,财经商业,https://space.bilibili.com/384227469,2026-04-27,23,4,4615.0,153.83,11885,388.31,168,1.41,1,"①专注A股短线实战技巧分享，涵盖机构票止跌买点捕捉、主线趋势判断方法、涨停预期管理等交易策略；②强调仓位管理与交易纪律，帮助散户避免持仓过于分散的""开超市""问题；③内容偏实操方法论，语言口语化，像老手在复盘时分享交易心得。"
3546852456663234,巨灵神威,2616,生活,日常,https://space.bilibili.com/3546852456663234,2026-05-04,16,3,4571.0,152.37,66734,68.5,178,0.27,1,①二次元动漫角色演绎向内容，涵盖《鬼灭之刃》《神奇数字马戏团》等热门IP的角色互动场景；②偏向轻松可爱的日常风格呈现，融合游戏元素与角色成长设定，整体呈现休闲娱乐化的二次元衍生创作
3546958650148899,虾宇宙,3587,动画,同人·手书,https://space.bilibili.com/3546958650148899,2026-05-01,19,23,4513.0,150.43,65596,68.8,168,0.26,1,①明朝穿越题材原创动画，以朱元璋一家与现代世界的互动为核心，通过朱棣唱歌被误解、后世学医、开银行拍卖会等桥段展现古今碰撞的喜剧效果；②聚焦皇室家庭日常与权谋暗线，围绕朱标太子之位、朱棣永乐身份、吕氏害人等情节构建戏剧冲突，兼具搞笑与剧情张力
1919859979,马会精算师的小号,1295,运动,足球,https://space.bilibili.com/1919859979,2026-04-23,27,4,4460.0,148.67,1584,2815.66,14,0.88,1,①足球赛事竞彩分析内容，覆盖葡超、英超、法甲、瑞典超等多个联赛；②以付费充电形式向用户提供赛前盘口解读、胜负走向判断和具体比分预测；③讲解风格口语化直接，强调胜率优势的同时也会提示风险，侧重实战投注建议。
3546883859417864,攬月與卿,1551,影视,影视剪辑,https://space.bilibili.com/3546883859417864,2026-04-20,30,44,4425.0,147.5,51235,86.37,170,0.33,1,"①女性向百合题材剪辑创作者，内容聚焦女性角色间的亲密互动场景，包括扛抱、公主抱等肢体接触姿势；②主要呈现昏迷、醉酒等特定情境下的角色互动，强调""姐妹情""""闺蜜贴贴""等亲密关系氛围；③作品风格偏甜宠向，通过影视剪辑和日常拍摄展现女性之间的柔软情感与身体接触细节"
1856585105,小宝漫馆,5718,影视,影视杂谈,https://space.bilibili.com/1856585105,2026-04-30,20,24,4358.0,145.27,58167,74.92,311,0.53,1,"①系统流穿越爽文剪辑，主打开挂逆袭剧情，涵盖抗战热血、玄幻修仙、末世科幻等多元题材；②突出""金手指""式的逆天改命桥段，从废柴到战神、从食材到巨兽，强调爽感体验和视觉冲击；③兼顾规则怪谈、诡异求生等悬疑惊悚内容。"
361542249,BoadRode,6089,影视,小剧场,https://space.bilibili.com/361542249,2026-05-10,10,5,4317.0,143.9,61196,70.54,166,0.27,1,"①小剧场形式的性转换题材连续剧，以""人皮附身""为核心设定，讲述男性角色穿上女性人皮后发生的身份互换与冒险故事；②剧情围绕皮刀道具的争夺、身份隐藏与揭秘展开，融合悬疑推理元素，强调角色间的博弈与反转"
10834684,db雷德曼,3525,舞蹈,颜值·网红舞,https://space.bilibili.com/10834684,2026-04-25,25,28,4247.0,141.57,36888,115.13,111,0.3,1,①专注zentai全包紧身衣题材的视频创作，涵盖产品展示、外拍写真、舞蹈表演等多元化呈现形式；②结合kigurumi头壳、面具等特殊装扮元素，探索变装艺术的视觉表达；③部分内容记录拍摄花絮与幕后过程，展现小众服饰文化的创作日常
3493285477746792,格桑花家的㜩萨,23013,生活,日常,https://space.bilibili.com/3493285477746792,2026-04-22,28,2,4142.0,138.07,12110,342.03,164,1.35,1,情感关系向的塔罗感应占卜内容，聚焦恋爱中的各类情感困扰场景，包括分手断联、暧昧不清、冷战矛盾等状态下的关系走向预测；采用多组选项的大众占卜形式，帮助观众解读情感疑惑，获得心理疗愈与指引；会结合热点节日（如520）推出应景主题，兼具占卜娱乐性与情感陪伴属性。
3706984104725125,九夏小漫社,1602,影视,影视剪辑,https://space.bilibili.com/3706984104725125,2026-05-07,13,21,4060.0,135.33,68693,59.1,254,0.37,1,①耽美向双男主剧情剪辑，聚焦古风修真、穿越重生、替嫁联姻等题材，呈现师徒、将军书生、攻略者等多元CP组合；②强调偏执占有、强制爱情、虐恋反转等狗血剧情走向，凸显角色间的权力失衡与情感纠葛；③部分内容涉及ABO设定、男扮女装等特殊人设，整体风格偏向腐向受众的爽文式叙事
3706974204070747,Tk阿绫ee,1457,生活,日常,https://space.bilibili.com/3706974204070747,2026-05-02,18,14,3968.0,132.27,26122,151.9,66,0.25,1,①师生场景剧情演绎，以做题比拼、课堂互动为载体，融入挠痒惩罚等趣味玩法；②Coser憋笑挑战系列，记录不同角色扮演者在特定刺激下的反应；③少量动漫剪辑内容作为补充
1747124973,P大的芒果Mango,6084,科技,计算机技术,https://space.bilibili.com/1747124973,2026-04-26,24,3,3770.0,125.67,9137,412.61,196,2.15,1,①深耕前沿科技产业研究，聚焦稀有资源（氦气、五氧化二钒）、太空技术（低轨卫星光伏）、新能源储能等新兴领域；②内容以量化分析见长，自行计算市场规模、供需缺口，解读全球产业格局变化对上下游的影响，呈现出专业的产业投研风格。
1552532175,檀溪剧场,5664,影视,影视剪辑,https://space.bilibili.com/1552532175,2026-05-11,9,20,3719.0,123.97,92407,40.25,232,0.25,1,"①现代都市复仇爽文剪辑，聚焦小人物被背叛压榨后重生或反击的逆袭故事；②主打商业利益冲突场景，围绕合伙人翻脸、恶意压榨、以德报怨不成后的强势回击；③典型""先抑后扬""叙事节奏，善良主角遭遇背刺后用实力或智慧让对方付出代价，满足观众情绪宣泄需求"
1598035742,源初动漫,45589,动画,综合,https://space.bilibili.com/1598035742,2026-04-25,25,27,3640.0,121.33,2468789,1.47,239,0.01,1,①国产原创机甲科幻动画《机变苍穹：觉醒》系列更新，围绕光芒与影盟两大阵营的对立冲突、战争阴谋与身份悬疑展开热血剧情；②穿插录音室配音制作花絮，展现声优现场工作状态与幕后创作过程
385873574,腐_腐,6726,影视,影视剪辑,https://space.bilibili.com/385873574,2026-05-02,18,13,3623.0,120.77,240488,15.07,248,0.1,1,①双男主兽人题材连续剧情向剪辑，以《捡的狗它成精了》系列为主线，讲述人类墨染与化形犬系兽人阿布的同居日常；②重点刻画兽人情期生理特征及两人间的情感互动与生活磨合，穿插金鱼篇等支线角色故事；③内容风格偏甜宠向，通过日常对话展现角色性格与关系发展
1959644345,小唐幸运小店1,1016,运动,足球,https://space.bilibili.com/1959644345,2026-05-10,10,9,3398.0,113.27,4601,738.54,15,0.33,1,①足球竞彩赛事预测与方案分享，覆盖五大联赛、日韩联赛及沙特联赛等多赛区；②每日输出多场次组合推荐，详解单关、二串一等投注策略，提供让球、总进球数等具体方向；③内容以实时赛事为主，偶尔穿插篮球竞彩，强调稳健组合与风险把控
3706976636766237,蛋糕吃到撑,1425,生活,日常,https://space.bilibili.com/3706976636766237,2026-04-27,23,20,3384.0,112.8,28284,119.64,77,0.27,1,①心肺复苏急救科普演示内容，通过模拟场景展示CPR标准操作流程和人工呼吸技术；②涵盖泳池溺水、哮喘发作、孕妇急救等多种突发情况下的应急处理方法，强调实用性急救知识普及
495265166,雅雅子kig,1626,时尚,仿妆cos,https://space.bilibili.com/495265166,2026-05-14,6,3,3300.0,110.0,8207,402.1,112,1.36,1,①kig娃娃真人出镜Vlog，记录穿戴娃娃皮cos装扮的日常外出体验；②街头约会探店向内容，与不同小姐姐进行游乐场、咖啡店等休闲场景互动，展现二次元爱好者的真实社交日常，画风轻松自然带有生活气息。
3706957722553261,咕噜咕噜vva,14772,影视,影视剪辑,https://space.bilibili.com/3706957722553261,2026-05-01,19,3,3272.0,109.07,65516,49.94,210,0.32,1,"①原创AI玄幻短剧系列，以""橘猫道长""为主角展开茅山术法、斗僵尸等民国道法题材故事；②融合悬疑惊悚元素，围绕南疆诡城、往生宗炼尸等诡秘事件构建连续剧情；③呈现道术对决、破煞除魔的奇幻冒险氛围，打造具有东方玄学特色的视觉叙事风格"
